,collisions,avg_watts_per_collision,avg_lightbulbs_per_collision,low_severity,number_injured,weather_1_A,location_type_N,location_type_R,primary_coll_factor_A,road_surface_A,road_cond_1_H,lighting_A,collisions_shift_1,collisions_shift_2,collisions_shift_3,collisions_shift_4,collisions_shift_5,collisions_shift_6,collisions_shift_7,collisions_shift_8,collisions_shift_9,collisions_shift_10,avg_watts_per_collision_shift_1,avg_watts_per_collision_shift_2,avg_watts_per_collision_shift_3,avg_watts_per_collision_shift_4,avg_watts_per_collision_shift_5,avg_watts_per_collision_shift_6,avg_watts_per_collision_shift_7,avg_watts_per_collision_shift_8,avg_watts_per_collision_shift_9,avg_watts_per_collision_shift_10,avg_lightbulbs_per_collision_shift_1,avg_lightbulbs_per_collision_shift_2,avg_lightbulbs_per_collision_shift_3,avg_lightbulbs_per_collision_shift_4,avg_lightbulbs_per_collision_shift_5,avg_lightbulbs_per_collision_shift_6,avg_lightbulbs_per_collision_shift_7,avg_lightbulbs_per_collision_shift_8,avg_lightbulbs_per_collision_shift_9,avg_lightbulbs_per_collision_shift_10,low_severity_shift_1,low_severity_shift_2,low_severity_shift_3,low_severity_shift_4,low_severity_shift_5,low_severity_shift_6,low_severity_shift_7,low_severity_shift_8,low_severity_shift_9,low_severity_shift_10,number_injured_shift_1,number_injured_shift_2,number_injured_shift_3,number_injured_shift_4,number_injured_shift_5,number_injured_shift_6,number_injured_shift_7,number_injured_shift_8,number_injured_shift_9,number_injured_shift_10,weather_1_A_shift_1,weather_1_A_shift_2,weather_1_A_shift_3,weather_1_A_shift_4,weather_1_A_shift_5,weather_1_A_shift_6,weather_1_A_shift_7,weather_1_A_shift_8,weather_1_A_shift_9,weather_1_A_shift_10,location_type_N_shift_1,location_type_N_shift_2,location_type_N_shift_3,location_type_N_shift_4,location_type_N_shift_5,location_type_N_shift_6,location_type_N_shift_7,location_type_N_shift_8,location_type_N_shift_9,location_type_N_shift_10,location_type_R_shift_1,location_type_R_shift_2,location_type_R_shift_3,location_type_R_shift_4,location_type_R_shift_5,location_type_R_shift_6,location_type_R_shift_7,location_type_R_shift_8,location_type_R_shift_9,location_type_R_shift_10,primary_coll_factor_A_shift_1,primary_coll_factor_A_shift_2,primary_coll_factor_A_shift_3,primary_coll_factor_A_shift_4,primary_coll_factor_A_shift_5,primary_coll_factor_A_shift_6,primary_coll_factor_A_shift_7,primary_coll_factor_A_shift_8,primary_coll_factor_A_shift_9,primary_coll_factor_A_shift_10,road_surface_A_shift_1,road_surface_A_shift_2,road_surface_A_shift_3,road_surface_A_shift_4,road_surface_A_shift_5,road_surface_A_shift_6,road_surface_A_shift_7,road_surface_A_shift_8,road_surface_A_shift_9,road_surface_A_shift_10,road_cond_1_H_shift_1,road_cond_1_H_shift_2,road_cond_1_H_shift_3,road_cond_1_H_shift_4,road_cond_1_H_shift_5,road_cond_1_H_shift_6,road_cond_1_H_shift_7,road_cond_1_H_shift_8,road_cond_1_H_shift_9,road_cond_1_H_shift_10,lighting_A_shift_1,lighting_A_shift_2,lighting_A_shift_3,lighting_A_shift_4,lighting_A_shift_5,lighting_A_shift_6,lighting_A_shift_7,lighting_A_shift_8,lighting_A_shift_9,lighting_A_shift_10,model_key,collisions_ssa,avg_watts_per_collision_ssa,avg_lightbulbs_per_collision_ssa,low_severity_ssa,number_injured_ssa,weather_1_A_ssa,location_type_N_ssa,location_type_R_ssa,primary_coll_factor_A_ssa,road_surface_A_ssa,road_cond_1_H_ssa,lighting_A_ssa
0,10,43752.0,532.6,9,19,10,10,0,9,10,9,8,9.0,12.0,5.0,5.0,9.0,13.0,5.0,6.0,6.0,4.0,53861.33333333334,43776.583333333336,48001.4,48031.8,27850.222222222223,49495.923076923085,44537.4,32337.66666666667,36371.5,49747.0,611.8888888888888,543.3333333333334,562.8,627.0,368.11111111111114,581.4615384615385,591.8,359.33333333333326,473.5,627.5,9.0,11.0,5.0,5.0,8.0,13.0,5.0,6.0,6.0,4.0,12.0,13.0,6.0,2.0,12.0,9.0,2.0,6.0,5.0,3.0,9.0,12.0,5.0,5.0,9.0,13.0,5.0,6.0,6.0,4.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,5.0,5.0,9.0,12.0,4.0,6.0,4.0,4.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,6.0,6.0,4.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,6.0,6.0,4.0,5.0,5.0,3.0,1.0,7.0,9.0,2.0,2.0,3.0,2.0,1,8.221759282917821,47457.69254353422,572.5714256589315,7.8727927957434405,8.63006872928964,7.104189237360125,8.350710976768534,0.0,8.293777251852607,8.258767224414838,8.266690354841296,5.350938410199129
1,9,43671.444444444445,507.33333333333326,9,5,9,8,0,9,9,9,4,10.0,9.0,12.0,5.0,5.0,9.0,13.0,5.0,6.0,6.0,43752.0,53861.33333333334,43776.583333333336,48001.4,48031.8,27850.222222222223,49495.923076923085,44537.4,32337.66666666667,36371.5,532.6,611.8888888888888,543.3333333333334,562.8,627.0,368.11111111111114,581.4615384615385,591.8,359.33333333333326,473.5,9.0,9.0,11.0,5.0,5.0,8.0,13.0,5.0,6.0,6.0,19.0,12.0,13.0,6.0,2.0,12.0,9.0,2.0,6.0,5.0,10.0,9.0,12.0,5.0,5.0,9.0,13.0,5.0,6.0,6.0,10.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,12.0,5.0,5.0,9.0,12.0,4.0,6.0,4.0,10.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,6.0,6.0,9.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,6.0,6.0,8.0,5.0,5.0,3.0,1.0,7.0,9.0,2.0,2.0,3.0,1,7.453801388789647,47487.520580340264,575.0109830380014,8.417812334196874,8.478029752721948,6.881199607869907,8.59678901114101,0.0,8.365604551322216,7.810441375190504,8.439667837998162,5.776604057206893
2,12,39960.333333333336,497.91666666666674,12,10,12,12,0,11,12,12,5,9.0,10.0,9.0,12.0,5.0,5.0,9.0,13.0,5.0,6.0,43671.444444444445,43752.0,53861.33333333334,43776.583333333336,48001.4,48031.8,27850.222222222223,49495.923076923085,44537.4,32337.66666666667,507.33333333333326,532.6,611.8888888888888,543.3333333333334,562.8,627.0,368.11111111111114,581.4615384615385,591.8,359.33333333333326,9.0,9.0,9.0,11.0,5.0,5.0,8.0,13.0,5.0,6.0,5.0,19.0,12.0,13.0,6.0,2.0,12.0,9.0,2.0,6.0,9.0,10.0,9.0,12.0,5.0,5.0,9.0,13.0,5.0,6.0,8.0,10.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,12.0,5.0,5.0,9.0,12.0,4.0,6.0,9.0,10.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,6.0,9.0,9.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,6.0,4.0,8.0,5.0,5.0,3.0,1.0,7.0,9.0,2.0,2.0,1,8.044716892991968,47537.216784230484,571.2407975296998,8.740659878229113,9.7994139731626,6.642637216247797,8.915641681802967,0.0,8.617591335407669,8.007114098488291,8.71597280728348,6.275921710067138
3,5,44460.4,470.4,4,4,5,5,0,5,5,5,2,12.0,9.0,10.0,9.0,12.0,5.0,5.0,9.0,13.0,5.0,39960.333333333336,43671.444444444445,43752.0,53861.33333333334,43776.583333333336,48001.4,48031.8,27850.222222222223,49495.923076923085,44537.4,497.91666666666674,507.33333333333326,532.6,611.8888888888888,543.3333333333334,562.8,627.0,368.11111111111114,581.4615384615385,591.8,12.0,9.0,9.0,9.0,11.0,5.0,5.0,8.0,13.0,5.0,10.0,5.0,19.0,12.0,13.0,6.0,2.0,12.0,9.0,2.0,12.0,9.0,10.0,9.0,12.0,5.0,5.0,9.0,13.0,5.0,12.0,8.0,10.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,9.0,9.0,12.0,5.0,5.0,9.0,12.0,4.0,12.0,9.0,10.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,12.0,9.0,9.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,5.0,4.0,8.0,5.0,5.0,3.0,1.0,7.0,9.0,2.0,1,8.665685473622489,47440.2114459014,576.6926868638259,7.737922168228871,9.009930251577295,6.479682620783328,8.089262673806038,0.0,7.920638748319295,7.593039525687648,7.959904196712912,4.3829333454379436
4,10,52584.8,597.8,10,10,9,10,0,10,10,10,3,5.0,12.0,9.0,10.0,9.0,12.0,5.0,5.0,9.0,13.0,44460.4,39960.333333333336,43671.444444444445,43752.0,53861.33333333334,43776.583333333336,48001.4,48031.8,27850.222222222223,49495.923076923085,470.4,497.91666666666674,507.33333333333326,532.6,611.8888888888888,543.3333333333334,562.8,627.0,368.11111111111114,581.4615384615385,4.0,12.0,9.0,9.0,9.0,11.0,5.0,5.0,8.0,13.0,4.0,10.0,5.0,19.0,12.0,13.0,6.0,2.0,12.0,9.0,5.0,12.0,9.0,10.0,9.0,12.0,5.0,5.0,9.0,13.0,5.0,12.0,8.0,10.0,9.0,11.0,5.0,5.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,9.0,9.0,9.0,12.0,5.0,5.0,9.0,12.0,5.0,12.0,9.0,10.0,9.0,11.0,5.0,5.0,9.0,13.0,5.0,12.0,9.0,9.0,9.0,11.0,5.0,5.0,9.0,13.0,2.0,5.0,4.0,8.0,5.0,5.0,3.0,1.0,7.0,9.0,1,8.454226519350454,47143.08310263907,569.8953324900764,7.063799361786222,7.355884895288422,6.540387468383256,7.362998139992958,0.0,7.225187410958654,7.069550324919203,7.320464140792288,3.5487391062218214
5,6,50102.83333333334,542.0,6,9,5,6,0,5,6,6,3,10.0,5.0,12.0,9.0,10.0,9.0,12.0,5.0,5.0,9.0,52584.8,44460.4,39960.333333333336,43671.444444444445,43752.0,53861.33333333334,43776.583333333336,48001.4,48031.8,27850.222222222223,597.8,470.4,497.91666666666674,507.33333333333326,532.6,611.8888888888888,543.3333333333334,562.8,627.0,368.11111111111114,10.0,4.0,12.0,9.0,9.0,9.0,11.0,5.0,5.0,8.0,10.0,4.0,10.0,5.0,19.0,12.0,13.0,6.0,2.0,12.0,9.0,5.0,12.0,9.0,10.0,9.0,12.0,5.0,5.0,9.0,10.0,5.0,12.0,8.0,10.0,9.0,11.0,5.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,11.0,9.0,9.0,9.0,12.0,5.0,5.0,9.0,10.0,5.0,12.0,9.0,10.0,9.0,11.0,5.0,5.0,9.0,10.0,5.0,12.0,9.0,9.0,9.0,11.0,5.0,5.0,9.0,3.0,2.0,5.0,4.0,8.0,5.0,5.0,3.0,1.0,7.0,1,8.61942916132159,46699.09024195414,578.2382673160031,7.872089683704337,8.185554219224707,6.808085899872729,8.00442538773207,0.0,7.762412551638711,7.714326927991333,7.964922589287042,5.5756008741614425
6,8,40316.875,503.875,8,9,8,8,0,8,8,8,6,6.0,10.0,5.0,12.0,9.0,10.0,9.0,12.0,5.0,5.0,50102.83333333334,52584.8,44460.4,39960.333333333336,43671.444444444445,43752.0,53861.33333333334,43776.583333333336,48001.4,48031.8,542.0,597.8,470.4,497.91666666666674,507.33333333333326,532.6,611.8888888888888,543.3333333333334,562.8,627.0,6.0,10.0,4.0,12.0,9.0,9.0,9.0,11.0,5.0,5.0,9.0,10.0,4.0,10.0,5.0,19.0,12.0,13.0,6.0,2.0,5.0,9.0,5.0,12.0,9.0,10.0,9.0,12.0,5.0,5.0,6.0,10.0,5.0,12.0,8.0,10.0,9.0,11.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,11.0,9.0,9.0,9.0,12.0,5.0,5.0,6.0,10.0,5.0,12.0,9.0,10.0,9.0,11.0,5.0,5.0,6.0,10.0,5.0,12.0,9.0,9.0,9.0,11.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,8.0,5.0,5.0,3.0,1.0,1,8.97838205684155,46367.58790906242,568.9964396764955,8.441563440293566,9.191855967638539,7.0679293623794255,8.614345169233768,0.0,8.39361440249681,8.441644526364783,8.548562770653641,6.376351931573927
7,10,54367.5,639.5,10,8,10,10,0,9,9,10,8,8.0,6.0,10.0,5.0,12.0,9.0,10.0,9.0,12.0,5.0,40316.875,50102.83333333334,52584.8,44460.4,39960.333333333336,43671.444444444445,43752.0,53861.33333333334,43776.583333333336,48001.4,503.875,542.0,597.8,470.4,497.91666666666674,507.33333333333326,532.6,611.8888888888888,543.3333333333334,562.8,8.0,6.0,10.0,4.0,12.0,9.0,9.0,9.0,11.0,5.0,9.0,9.0,10.0,4.0,10.0,5.0,19.0,12.0,13.0,6.0,8.0,5.0,9.0,5.0,12.0,9.0,10.0,9.0,12.0,5.0,8.0,6.0,10.0,5.0,12.0,8.0,10.0,9.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,10.0,5.0,11.0,9.0,9.0,9.0,12.0,5.0,8.0,6.0,10.0,5.0,12.0,9.0,10.0,9.0,11.0,5.0,8.0,6.0,10.0,5.0,12.0,9.0,9.0,9.0,11.0,5.0,6.0,3.0,3.0,2.0,5.0,4.0,8.0,5.0,5.0,3.0,1,8.22496739822285,46388.69836553376,579.1351088763655,8.12300107924855,8.226270394032918,7.13762520862346,8.39262751110648,0.0,8.249490460443813,8.10307510264402,8.30328639132496,5.326101591350396
8,13,46313.307692307695,563.3076923076923,11,13,13,12,0,13,13,13,8,10.0,8.0,6.0,10.0,5.0,12.0,9.0,10.0,9.0,12.0,54367.5,40316.875,50102.83333333334,52584.8,44460.4,39960.333333333336,43671.444444444445,43752.0,53861.33333333334,43776.583333333336,639.5,503.875,542.0,597.8,470.4,497.91666666666674,507.33333333333326,532.6,611.8888888888888,543.3333333333334,10.0,8.0,6.0,10.0,4.0,12.0,9.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,4.0,10.0,5.0,19.0,12.0,13.0,10.0,8.0,5.0,9.0,5.0,12.0,9.0,10.0,9.0,12.0,10.0,8.0,6.0,10.0,5.0,12.0,8.0,10.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,5.0,10.0,5.0,11.0,9.0,9.0,9.0,12.0,9.0,8.0,6.0,10.0,5.0,12.0,9.0,10.0,9.0,11.0,10.0,8.0,6.0,10.0,5.0,12.0,9.0,9.0,9.0,11.0,8.0,6.0,3.0,3.0,2.0,5.0,4.0,8.0,5.0,5.0,1,7.437511977041091,46801.61153491715,568.7921494098262,8.373239884584795,8.316554300935467,7.0295773464749916,8.592785512619413,0.0,8.37811380165146,7.853099455872238,8.442437771495754,5.8166795009364085
9,9,54735.555555555555,588.0,9,6,9,9,0,8,9,9,4,13.0,10.0,8.0,6.0,10.0,5.0,12.0,9.0,10.0,9.0,46313.307692307695,54367.5,40316.875,50102.83333333334,52584.8,44460.4,39960.333333333336,43671.444444444445,43752.0,53861.33333333334,563.3076923076923,639.5,503.875,542.0,597.8,470.4,497.91666666666674,507.33333333333326,532.6,611.8888888888888,11.0,10.0,8.0,6.0,10.0,4.0,12.0,9.0,9.0,9.0,13.0,8.0,9.0,9.0,10.0,4.0,10.0,5.0,19.0,12.0,13.0,10.0,8.0,5.0,9.0,5.0,12.0,9.0,10.0,9.0,12.0,10.0,8.0,6.0,10.0,5.0,12.0,8.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,8.0,5.0,10.0,5.0,11.0,9.0,9.0,9.0,13.0,9.0,8.0,6.0,10.0,5.0,12.0,9.0,10.0,9.0,13.0,10.0,8.0,6.0,10.0,5.0,12.0,9.0,9.0,9.0,8.0,8.0,6.0,3.0,3.0,2.0,5.0,4.0,8.0,5.0,1,7.994832017385139,47418.260967785245,579.4494035614396,8.726133926871864,9.75091915023511,6.833696029778607,8.937859663890197,0.0,8.662707062938322,8.066893913855937,8.746614739041377,6.344991129123171
