,collision_date,accidents,is_12AM_3AM,is_3AM_6AM,is_6AM_9AM,is_9AM_12PM,is_12PM_3PM,is_3PM_6PM,is_6PM_9PM,is_9PM_12AM,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_sunday,avg_density_per_collision,avg_wealth_per_collision,avg_intersections_per_collision,avg_watts_per_collision,avg_lightbulbs_per_collision,avg_one_way_signs_per_collision,avg_speed_limit_signs_per_collision,avg_no_u_turn_signs_per_collision,avg_stop_sign_per_collision,avg_yield_sign_per_collision,high_severity,low_severity,number_killed,number_injured,pedestrian_accident,bicycle_accident,motorcycle_accident,truck_accident,alcohol_involved,count_ped_killed,count_ped_injured,count_bicyclist_killed,count_bicyclist_injured,intersection_N,intersection_Unknown,intersection_Y,weather_1_A,weather_1_B,weather_1_C,weather_1_D,weather_1_E,weather_1_F,weather_1_G,weather_1_Unknown,location_type_H,location_type_I,location_type_N,location_type_R,primary_coll_factor_A,primary_coll_factor_B,primary_coll_factor_C,primary_coll_factor_D,primary_coll_factor_E,primary_coll_factor_Unknown,pcf_viol_category_00,pcf_viol_category_01,pcf_viol_category_02,pcf_viol_category_03,pcf_viol_category_04,pcf_viol_category_05,pcf_viol_category_06,pcf_viol_category_07,pcf_viol_category_08,pcf_viol_category_09,pcf_viol_category_10,pcf_viol_category_11,pcf_viol_category_12,pcf_viol_category_13,pcf_viol_category_14,pcf_viol_category_15,pcf_viol_category_16,pcf_viol_category_17,pcf_viol_category_18,pcf_viol_category_21,pcf_viol_category_22,pcf_viol_category_24,pcf_viol_category_Unknown,hit_and_run_F,hit_and_run_M,hit_and_run_N,type_of_collision_A,type_of_collision_B,type_of_collision_C,type_of_collision_D,type_of_collision_E,type_of_collision_F,type_of_collision_G,type_of_collision_H,type_of_collision_Unknown,road_surface_A,road_surface_B,road_surface_C,road_surface_D,road_surface_Unknown,road_cond_1_A,road_cond_1_B,road_cond_1_C,road_cond_1_D,road_cond_1_E,road_cond_1_F,road_cond_1_G,road_cond_1_H,road_cond_1_Unknown,lighting_A,lighting_B,lighting_C,lighting_D,lighting_E,lighting_Unknown,control_device_A,control_device_B,control_device_C,control_device_D,control_device_Unknown
0,2012-01-01T00:00:00.000Z,73,12,13,2,2,11,16,8,8,0,0,0,0,0,0,1,13442.381991914734,23929.429022076187,126.64383561643835,54183.49315068493,551.6438356164383,7.958904109589041,19.19178082191781,2.7260273972602738,126.61111111111111,0.5,2,71,0,67,0.0,0.0,0.0,0.0,0.0,0,8,0,2,42,0,31,68,2,0,0,3,0,0,0,0,0,73,0,71,1,1,0,0,0,2,13,0,14,1,1,2,3,4,13,1,5,9,0,0,0,0,0,1,1,3,0,0,6,17,50,9,11,15,19,11,0,8,0,0,72,1,0,0,0,0,0,0,2,1,0,0,70,0,22,3,46,2,0,0,29,0,0,44,0
1,2012-01-02T00:00:00.000Z,61,2,3,3,8,12,15,12,5,1,0,0,0,0,0,0,14532.259428232186,24020.390756295616,129.9672131147541,67031.26229508196,662.5081967213115,19.16393442622951,23.540983606557376,1.8524590163934427,136.0327868852459,0.4918032786885246,2,59,0,66,0.0,0.0,0.0,0.0,0.0,0,6,0,6,32,0,29,59,1,0,0,1,0,0,0,0,0,61,0,59,0,0,2,0,0,4,5,0,18,3,4,0,2,4,12,2,3,2,0,0,0,0,0,0,2,0,0,0,4,15,42,0,11,22,18,4,1,5,0,0,60,1,0,0,0,0,0,0,0,0,0,1,60,0,36,1,23,1,0,0,18,0,0,43,0
2,2012-01-03T00:00:00.000Z,89,4,2,9,13,18,19,19,4,0,1,0,0,0,0,0,12094.485710466632,24452.105816895877,130.79775280898878,64930.76404494382,628.2808988764045,13.359550561797754,20.55056179775281,2.146067415730337,125.71910112359551,0.34831460674157305,3,86,1,79,0.0,0.0,0.0,0.0,0.0,0,7,0,4,43,0,46,88,1,0,0,0,0,0,0,1,0,88,0,87,0,0,2,0,0,3,4,0,16,3,4,2,5,8,21,2,4,10,0,0,0,0,1,0,4,1,0,1,12,20,57,10,23,21,25,3,0,7,0,0,89,0,0,0,0,0,0,0,0,0,0,0,89,0,51,5,31,2,0,0,43,0,0,45,1
3,2012-01-04T00:00:00.000Z,65,3,1,6,7,13,15,14,5,0,0,1,0,0,0,0,12992.94761615739,34659.075176532904,130.98461538461538,76172.5076923077,698.4461538461538,42.353846153846156,20.953846153846154,2.5076923076923077,118.23076923076923,0.4307692307692308,2,63,0,44,0.0,0.0,0.0,0.0,0.0,0,4,0,7,27,0,38,65,0,0,0,0,0,0,0,0,0,65,0,63,0,1,0,0,1,1,5,0,13,4,3,1,4,4,13,0,2,8,0,0,0,0,0,1,3,0,1,2,5,15,45,2,18,16,21,4,0,4,0,0,64,1,0,0,0,0,0,0,0,0,0,2,63,0,37,2,22,4,0,0,34,1,0,30,0
4,2012-01-05T00:00:00.000Z,72,3,3,6,11,12,19,13,5,0,0,0,1,0,0,0,10867.289974049057,38354.57346870927,137.02777777777777,67585.69444444444,672.2916666666666,35.75,22.805555555555557,2.9166666666666665,136.43055555555554,0.4583333333333333,3,69,1,59,0.0,0.0,0.0,0.0,0.0,0,7,0,5,36,0,36,70,2,0,0,0,0,0,0,0,0,72,0,69,0,1,2,0,0,2,8,0,16,3,1,1,3,9,15,3,1,4,0,0,0,0,1,1,3,1,0,0,7,10,55,6,21,15,17,7,0,6,0,0,72,0,0,0,0,0,0,0,0,1,0,0,71,0,40,6,26,0,0,0,29,1,0,42,0
5,2012-01-06T00:00:00.000Z,95,3,2,11,14,25,17,12,10,0,0,0,0,1,0,0,11707.222605041927,28640.477017035733,141.7578947368421,78621.86315789474,707.0315789473684,31.68421052631579,22.66315789473684,3.0526315789473686,132.98947368421054,0.49473684210526314,4,91,0,85,0.0,0.0,0.0,0.0,0.0,0,8,0,11,39,0,56,92,2,0,0,1,0,0,0,0,0,95,0,95,0,0,0,0,0,2,0,0,17,4,11,2,5,9,17,3,2,9,1,0,0,0,0,0,2,5,0,6,11,28,56,4,22,20,36,5,1,7,0,0,94,1,0,0,0,0,0,0,0,0,0,0,93,2,63,5,24,2,1,0,50,0,0,45,0
6,2012-01-07T00:00:00.000Z,65,11,4,3,7,13,10,11,6,0,0,0,0,0,1,0,10890.796169029141,35329.80852399853,138.2153846153846,61408.18461538461,615.276923076923,11.0,20.584615384615386,2.276923076923077,137.2923076923077,0.3076923076923077,2,63,0,51,0.0,0.0,0.0,0.0,0.0,0,2,0,0,36,0,29,64,1,0,0,0,0,0,0,0,0,65,0,64,0,0,0,0,1,0,9,0,16,3,1,0,3,6,9,1,1,7,0,0,0,0,0,0,2,4,0,3,6,24,35,3,13,22,18,7,0,2,0,0,65,0,0,0,0,0,1,0,0,1,0,0,63,0,28,3,34,0,0,0,23,0,0,42,0
7,2012-01-08T00:00:00.000Z,70,7,0,6,6,14,12,15,10,0,0,0,0,0,0,1,13550.669301683292,23425.793391113933,128.45714285714286,71857.25714285714,667.4714285714285,43.371428571428574,21.242857142857144,3.5142857142857142,124.08571428571429,0.4857142857142857,2,68,1,57,0.0,0.0,0.0,0.0,0.0,1,4,0,2,35,0,35,70,0,0,0,0,0,0,0,0,0,70,0,69,0,0,1,0,0,2,4,0,16,3,3,1,2,4,14,4,1,9,0,1,0,0,0,0,3,0,0,3,9,27,34,5,15,14,25,6,0,5,0,0,70,0,0,0,0,0,0,0,0,2,0,0,68,0,33,3,32,2,0,0,36,0,0,34,0
8,2012-01-09T00:00:00.000Z,98,6,4,17,18,13,18,17,3,1,0,0,0,0,0,0,12594.292861324484,32806.31585136383,139.6734693877551,69576.69387755102,662.0408163265306,33.13265306122449,21.877551020408163,2.9081632653061225,129.66326530612244,0.4489795918367347,1,97,0,86,0.0,0.0,0.0,0.0,0.0,0,12,0,7,44,0,54,98,0,0,0,0,0,0,0,1,1,96,0,97,0,0,1,0,0,5,7,0,16,7,3,3,7,5,22,7,1,4,0,0,0,0,2,0,5,4,0,0,9,19,70,4,24,21,30,8,0,11,0,0,97,0,1,0,0,0,0,0,1,0,0,1,94,2,58,4,35,1,0,0,47,0,0,50,1
9,2012-01-10T00:00:00.000Z,70,4,1,10,10,12,19,11,3,0,1,0,0,0,0,0,11476.049114024485,25918.209060411584,134.0142857142857,67346.77142857143,664.1285714285714,26.214285714285715,23.47142857142857,2.085714285714286,134.74285714285713,0.5571428571428572,3,67,0,60,0.0,0.0,0.0,0.0,0.0,0,10,0,9,30,0,40,67,3,0,0,0,0,0,0,0,1,69,0,70,0,0,0,0,0,1,2,0,15,6,8,1,2,3,16,2,4,4,0,0,0,0,2,0,2,1,0,1,8,11,51,4,14,17,20,4,1,10,0,0,68,1,0,1,0,0,0,0,0,0,0,0,70,0,43,5,20,2,0,0,39,1,0,30,0
