,Population,Density,Wealthy,median_age,intersections,total_watts,total_lightbulbs,one_way_signs,speed_limit_signs,no_u_turn_signs,stop_sign,yield_sign,accidents
0,35482,2362.31691078562,59861.40736147906,18097,87.0,22253.0,342.0,0.0,7.0,3.0,48.0,0.0,38
1,35482,2362.31691078562,59861.40736147906,18097,152.0,54631.0,670.0,0.0,14.0,0.0,148.0,0.0,89
2,35482,2362.31691078562,59861.40736147906,18097,163.0,38552.0,736.0,2.0,19.0,0.0,105.0,0.0,79
3,35482,2362.31691078562,59861.40736147906,18097,120.0,10554.0,183.0,0.0,13.0,1.0,26.0,0.0,31
4,35482,2362.31691078562,59861.40736147906,18097,14.0,33916.0,391.0,0.0,2.0,0.0,90.0,0.0,4
5,35482,2362.31691078562,59861.40736147906,18097,70.0,14277.0,168.0,1.0,3.0,0.0,32.0,2.0,40
6,35482,2362.31691078562,59861.40736147906,18097,133.0,48730.0,440.0,0.0,25.0,3.0,108.0,0.0,156
7,35482,2362.31691078562,59861.40736147906,18097,155.0,44901.0,582.0,2.0,26.0,0.0,117.0,0.0,167
8,35482,2362.31691078562,59861.40736147906,18097,199.0,45347.0,758.0,2.0,23.0,1.0,117.0,0.0,93
9,35482,2362.31691078562,59861.40736147906,18097,143.0,33559.0,489.0,8.0,17.0,0.0,77.0,0.0,33
10,35482,2362.31691078562,59861.40736147906,18097,6.0,33916.0,391.0,0.0,1.0,0.0,5.0,0.0,19
11,35482,2362.31691078562,59861.40736147906,18097,2.0,33916.0,391.0,0.0,2.0,0.0,90.0,0.0,1
12,35482,2362.31691078562,59861.40736147906,18097,129.0,13586.0,252.0,4.0,8.0,0.0,37.0,3.0,25
13,35482,2362.31691078562,59861.40736147906,18097,154.0,29199.0,348.0,3.0,24.0,1.0,137.0,2.0,233
14,35482,2362.31691078562,59861.40736147906,18097,164.0,38205.0,536.0,4.0,25.0,0.0,78.0,0.0,368
15,35482,2362.31691078562,59861.40736147906,18097,217.0,56004.0,837.0,0.0,23.0,0.0,103.0,0.0,235
16,35482,2362.31691078562,59861.40736147906,18097,153.0,26962.0,513.0,0.0,17.0,0.0,90.0,0.0,111
17,35482,2362.31691078562,59861.40736147906,18097,54.0,7363.0,116.0,0.0,5.0,0.0,24.0,0.0,12
18,35482,2362.31691078562,59861.40736147906,18097,43.0,11588.0,152.0,0.0,13.0,0.0,32.0,0.0,13
19,35482,2362.31691078562,59861.40736147906,18097,27.0,4160.0,32.0,0.0,3.0,0.0,1.0,0.0,15
