Zipcode,ZipcodeType,City,State,Population,Density,TotalWages,Wealthy,HouseOfUnits,LandArea,WaterArea,Latitude,Longitude,NEBoundLatitude,NEBoundLongitude,SWBoundLatitude,SWBoungLongitude
90001,Standard,Los Angeles,CA,57110,16317.142857142857,421709138.0,7384.155804587638,13788,3.5,0.0,33.96978970000001,-118.24681480000001,33.9894491,-118.231599,33.948139000000005,-118.26518200000001
90002,Standard,Los Angeles,CA,51223,16739.54248366013,352278879.0,6877.357417566328,12598,3.06,0.0,33.951113299999996,-118.2497386,33.960209899999995,-118.22650700000001,33.937793,-118.265161
90003,Standard,Los Angeles,CA,66266,18666.47887323944,463744071.0,6998.220369420214,17127,3.55,0.0,33.9657994,-118.27312690000001,33.993299,-118.2610291,33.938263799999994,-118.2870971
90004,Standard,Los Angeles,CA,62180,20386.88524590164,891085777.0,14330.74585075587,24278,3.05,0.0,34.0748887,-118.3082034,34.083732899999994,-118.28304399999999,34.068528,-118.338498
90005,Standard,Los Angeles,CA,37681,34889.81481481482,369162475.0,9797.045593269815,16345,1.08,0.0,34.0578814,-118.30966480000001,34.0637149,-118.282294,34.05513,-118.3393861
90006,Standard,Los Angeles,CA,59185,30825.520833333336,398768368.0,6737.659339359635,20332,1.92,0.0,34.0470832,-118.2965121,34.055942,-118.27431299999999,34.0392851,-118.31013100000001
90007,Standard,Los Angeles,CA,40920,16566.801619433198,262370773.0,6411.797971652004,12762,2.47,0.0,34.0295114,-118.2848199,34.040042,-118.264679,34.0130389,-118.30411299999999
90008,Standard,Los Angeles,CA,32327,8808.446866485014,426689767.0,13199.176137593962,15006,3.67,0.03,34.008323100000005,-118.3491169,34.021699100000006,-118.3170689,33.996806,-118.374632
90010,Standard,Los Angeles,CA,3800,8260.86956521739,122651252.0,32276.64526315789,2382,0.46,0.0,34.0625448,-118.3089341,34.064935999999996,-118.284208,34.057713,-118.33846899999999
90011,Standard,Los Angeles,CA,103892,24217.249417249415,678782526.0,6533.539887575559,23547,4.29,0.0,34.007889,-118.2585096,34.030991,-118.2429529,33.986061799999995,-118.2740209
90012,Standard,Los Angeles,CA,31103,9629.411764705883,288859252.0,9287.182972703597,11370,3.23,0.06,34.0653347,-118.24389099999999,34.095664899999996,-118.2245129,34.045538,-118.25679
90013,Standard,Los Angeles,CA,11772,17570.149253731342,115494378.0,9810.939347604486,7516,0.67,0.01,34.043925,-118.2424291,34.0523471,-118.228292,34.038137,-118.2541801
